Module,Service ID,Service Name,Current State,Target Capability,Primary Data Source,Primary Windows/API Interface,Native Strategy,Database Needed,Simple UI,Advanced UI,Terminal/Evidence,Admin,Risk,Undo,Offline,External Dependency,Research Readiness,Primary Source,Implementation Phase
M02,M02-S01,User temporary files,STATIC_VERIFIED,"Deliver User temporary files as a bounded, inspectable Windows capability with truthful preflight, progress, result, and evidence.",Win32 file APIs; Known folders/environment paths,Win32 file APIs,typed Tauri/Rust contract; fixed allowlisted command only if required,yes,scope/source selector; Scan or Preview; Review results; Export evidence,bounded filters; timeout/result limits; evidence verbosity,operation id; phase; data source/API; duration; warnings/errors; changed/skipped objects,standard user unless the selected operation touches protected machine state,LOW,False,Core local capability must work offline unless an external provider is explicitly selected.,none,READY_TO_IMPLEMENT,https://learn.microsoft.com/en-us/windows/win32/api/fileapi/,P2_existing_reference
M02,M02-S02,Windows temporary files,STATIC_VERIFIED,"Deliver Windows temporary files as a bounded, inspectable Windows capability with truthful preflight, progress, result, and evidence.",Win32 file APIs; Known folders/environment paths,Win32 file APIs,typed Tauri/Rust contract; fixed allowlisted command only if required,yes,scope/source selector; Scan or Preview; Review results; Export evidence,bounded filters; timeout/result limits; evidence verbosity,operation id; phase; data source/API; duration; warnings/errors; changed/skipped objects,standard user unless the selected operation touches protected machine state,LOW,False,Core local capability must work offline unless an external provider is explicitly selected.,none,READY_TO_IMPLEMENT,https://learn.microsoft.com/en-us/windows/win32/api/fileapi/,P2_existing_reference
M02,M02-S03,Browser cache,STATIC_VERIFIED,"Deliver Browser cache as a bounded, inspectable Windows capability with truthful preflight, progress, result, and evidence.",Win32 file APIs; Known folders/environment paths,Win32 file APIs,typed Tauri/Rust contract; fixed allowlisted command only if required,yes,scope/source selector; Scan or Preview; Review results; Export evidence,bounded filters; timeout/result limits; evidence verbosity,operation id; phase; data source/API; duration; warnings/errors; changed/skipped objects,standard user unless the selected operation touches protected machine state,LOW,False,Core local capability must work offline unless an external provider is explicitly selected.,none,READY_TO_IMPLEMENT,https://learn.microsoft.com/en-us/windows/win32/api/fileapi/,P2_existing_reference
M02,M02-S04,Thumbnail cache,STATIC_VERIFIED,"Deliver Thumbnail cache as a bounded, inspectable Windows capability with truthful preflight, progress, result, and evidence.",Win32 file APIs; Known folders/environment paths,Win32 file APIs,typed Tauri/Rust contract; fixed allowlisted command only if required,yes,scope/source selector; Scan or Preview; Review results; Export evidence,bounded filters; timeout/result limits; evidence verbosity,operation id; phase; data source/API; duration; warnings/errors; changed/skipped objects,standard user unless the selected operation touches protected machine state,LOW,False,Core local capability must work offline unless an external provider is explicitly selected.,none,READY_TO_IMPLEMENT,https://learn.microsoft.com/en-us/windows/win32/api/fileapi/,P2_existing_reference
M02,M02-S05,Crash dumps,STATIC_VERIFIED,"Deliver Crash dumps as a bounded, inspectable Windows capability with truthful preflight, progress, result, and evidence.",Win32 file APIs; Known folders/environment paths,Win32 file APIs,typed Tauri/Rust contract; fixed allowlisted command only if required,yes,scope/source selector; Scan or Preview; Review results; Export evidence,bounded filters; timeout/result limits; evidence verbosity,operation id; phase; data source/API; duration; warnings/errors; changed/skipped objects,standard user unless the selected operation touches protected machine state,LOW,False,Core local capability must work offline unless an external provider is explicitly selected.,none,READY_TO_IMPLEMENT,https://learn.microsoft.com/en-us/windows/win32/api/fileapi/,P2_existing_reference
M02,M02-S06,Delivery Optimization cache,PLANNED,"Deliver Delivery Optimization cache as a bounded, inspectable Windows capability with truthful preflight, progress, result, and evidence.",Win32 file APIs; Known folders/environment paths,Win32 file APIs,typed Tauri/Rust contract; fixed allowlisted command only if required,yes,scope/source selector; Scan or Preview; Review results; Export evidence,bounded filters; timeout/result limits; evidence verbosity,operation id; phase; data source/API; duration; warnings/errors; changed/skipped objects,standard user unless the selected operation touches protected machine state,LOW,False,Core local capability must work offline unless an external provider is explicitly selected.,none,READY_TO_IMPLEMENT,https://learn.microsoft.com/en-us/windows/win32/api/fileapi/,P1_planned
M02,M02-S07,Application & Windows logs,STATIC_VERIFIED,"Deliver Application & Windows logs as a bounded, inspectable Windows capability with truthful preflight, progress, result, and evidence.",Win32 file APIs; Known folders/environment paths,Win32 file APIs,typed Tauri/Rust contract; fixed allowlisted command only if required,yes,scope/source selector; Scan or Preview; Review results; Export evidence,bounded filters; timeout/result limits; evidence verbosity,operation id; phase; data source/API; duration; warnings/errors; changed/skipped objects,standard user unless the selected operation touches protected machine state,LOW,False,Core local capability must work offline unless an external provider is explicitly selected.,none,READY_TO_IMPLEMENT,https://learn.microsoft.com/en-us/windows/win32/api/fileapi/,P2_existing_reference
M02,M02-S08,Recycle Bin review,PLANNED,"Deliver Recycle Bin review as a bounded, inspectable Windows capability with truthful preflight, progress, result, and evidence.",Win32 file APIs; Known folders/environment paths,Win32 file APIs,typed Tauri/Rust contract; fixed allowlisted command only if required,yes,scope/source selector; Scan or Preview; Review results; Export evidence,bounded filters; timeout/result limits; evidence verbosity,operation id; phase; data source/API; duration; warnings/errors; changed/skipped objects,standard user unless the selected operation touches protected machine state,LOW,False,Core local capability must work offline unless an external provider is explicitly selected.,none,READY_TO_IMPLEMENT,https://learn.microsoft.com/en-us/windows/win32/api/fileapi/,P1_planned
M02,M02-S09,Old Downloads review,STATIC_VERIFIED,"Deliver Old Downloads review as a bounded, inspectable Windows capability with truthful preflight, progress, result, and evidence.",Win32 file APIs; Known folders/environment paths,Win32 file APIs,typed Tauri/Rust contract; fixed allowlisted command only if required,yes,scope/source selector; Scan or Preview; Review results; Export evidence,bounded filters; timeout/result limits; evidence verbosity,operation id; phase; data source/API; duration; warnings/errors; changed/skipped objects,standard user unless the selected operation touches protected machine state,LOW,False,Core local capability must work offline unless an external provider is explicitly selected.,none,READY_TO_IMPLEMENT,https://learn.microsoft.com/en-us/windows/win32/api/fileapi/,P2_existing_reference
M02,M02-S10,Scheduled cleanup profiles,PLANNED,"Deliver Scheduled cleanup profiles as a bounded, inspectable Windows capability with truthful preflight, progress, result, and evidence.",Win32 file APIs; Known folders/environment paths,Win32 file APIs,typed Tauri/Rust contract; fixed allowlisted command only if required,yes,scope/source selector; Scan or Preview; Review results; Export evidence,bounded filters; timeout/result limits; evidence verbosity,operation id; phase; data source/API; duration; warnings/errors; changed/skipped objects,standard user unless the selected operation touches protected machine state,LOW,True,Core local capability must work offline unless an external provider is explicitly selected.,none,READY_TO_IMPLEMENT,https://learn.microsoft.com/en-us/windows/win32/api/fileapi/,P1_planned
M03,M03-S01,Exact duplicate detection,STATIC_VERIFIED,"Deliver Exact duplicate detection as a bounded, inspectable Windows capability with truthful preflight, progress, result, and evidence.",Win32 file identity; Rust streaming hash,Win32 file identity,typed Tauri/Rust contract; fixed allowlisted command only if required,yes,scope/source selector; Scan or Preview; Review results; Export evidence,bounded filters; timeout/result limits; evidence verbosity,operation id; phase; data source/API; duration; warnings/errors; changed/skipped objects,standard user unless the selected operation touches protected machine state,LOW,False,Core local capability must work offline unless an external provider is explicitly selected.,none,READY_TO_IMPLEMENT,https://learn.microsoft.com/en-us/windows/win32/api/fileapi/nf-fileapi-getfileinformationbyhandle,P2_existing_reference
M03,M03-S02,Fast partial-hash scan,STATIC_VERIFIED,"Deliver Fast partial-hash scan as a bounded, inspectable Windows capability with truthful preflight, progress, result, and evidence.",Win32 file identity; Rust streaming hash,Win32 file identity,typed Tauri/Rust contract; fixed allowlisted command only if required,yes,scope/source selector; Scan or Preview; Review results; Export evidence,bounded filters; timeout/result limits; evidence verbosity,operation id; phase; data source/API; duration; warnings/errors; changed/skipped objects,standard user unless the selected operation touches protected machine state,LOW,False,Core local capability must work offline unless an external provider is explicitly selected.,none,READY_TO_IMPLEMENT,https://learn.microsoft.com/en-us/windows/win32/api/fileapi/nf-fileapi-getfileinformationbyhandle,P2_existing_reference
M03,M03-S03,Similar-image detection,PARTIAL,"Deliver Similar-image detection as a bounded, inspectable Windows capability with truthful preflight, progress, result, and evidence.",Win32 file identity; Rust streaming hash,Win32 file identity,typed Tauri/Rust contract; fixed allowlisted command only if required,yes,scope/source selector; Scan or Preview; Review results; Export evidence,bounded filters; timeout/result limits; evidence verbosity,operation id; phase; data source/API; duration; warnings/errors; changed/skipped objects,standard user unless the selected operation touches protected machine state,LOW,False,Core local capability must work offline unless an external provider is explicitly selected.,none,READY_TO_IMPLEMENT,https://learn.microsoft.com/en-us/windows/win32/api/fileapi/nf-fileapi-getfileinformationbyhandle,P0_partial_closure
M03,M03-S04,Duplicate-video detection,PARTIAL,"Deliver Duplicate-video detection as a bounded, inspectable Windows capability with truthful preflight, progress, result, and evidence.",Win32 file identity; Rust streaming hash,Win32 file identity,typed Tauri/Rust contract; fixed allowlisted command only if required,yes,scope/source selector; Scan or Preview; Review results; Export evidence,bounded filters; timeout/result limits; evidence verbosity,operation id; phase; data source/API; duration; warnings/errors; changed/skipped objects,standard user unless the selected operation touches protected machine state,LOW,False,Core local capability must work offline unless an external provider is explicitly selected.,none,NEEDS_PROTOTYPE,https://learn.microsoft.com/en-us/windows/win32/api/fileapi/nf-fileapi-getfileinformationbyhandle,P0_partial_closure
M03,M03-S05,Duplicate-audio detection,PARTIAL,"Deliver Duplicate-audio detection as a bounded, inspectable Windows capability with truthful preflight, progress, result, and evidence.",Win32 file identity; Rust streaming hash,Win32 file identity,typed Tauri/Rust contract; fixed allowlisted command only if required,yes,scope/source selector; Scan or Preview; Review results; Export evidence,bounded filters; timeout/result limits; evidence verbosity,operation id; phase; data source/API; duration; warnings/errors; changed/skipped objects,standard user unless the selected operation touches protected machine state,LOW,False,Core local capability must work offline unless an external provider is explicitly selected.,none,NEEDS_PROTOTYPE,https://learn.microsoft.com/en-us/windows/win32/api/fileapi/nf-fileapi-getfileinformationbyhandle,P0_partial_closure
M03,M03-S06,Duplicate-document detection,STATIC_VERIFIED,"Deliver Duplicate-document detection as a bounded, inspectable Windows capability with truthful preflight, progress, result, and evidence.",Win32 file identity; Rust streaming hash,Win32 file identity,typed Tauri/Rust contract; fixed allowlisted command only if required,yes,scope/source selector; Scan or Preview; Review results; Export evidence,bounded filters; timeout/result limits; evidence verbosity,operation id; phase; data source/API; duration; warnings/errors; changed/skipped objects,standard user unless the selected operation touches protected machine state,LOW,False,Core local capability must work offline unless an external provider is explicitly selected.,none,READY_TO_IMPLEMENT,https://learn.microsoft.com/en-us/windows/win32/api/fileapi/nf-fileapi-getfileinformationbyhandle,P2_existing_reference
M03,M03-S07,Duplicate-archive detection,PARTIAL,"Deliver Duplicate-archive detection as a bounded, inspectable Windows capability with truthful preflight, progress, result, and evidence.",Win32 file identity; Rust streaming hash,Win32 file identity,typed Tauri/Rust contract; fixed allowlisted command only if required,yes,scope/source selector; Scan or Preview; Review results; Export evidence,bounded filters; timeout/result limits; evidence verbosity,operation id; phase; data source/API; duration; warnings/errors; changed/skipped objects,standard user unless the selected operation touches protected machine state,LOW,False,Core local capability must work offline unless an external provider is explicitly selected.,none,READY_TO_IMPLEMENT,https://learn.microsoft.com/en-us/windows/win32/api/fileapi/nf-fileapi-getfileinformationbyhandle,P0_partial_closure
M03,M03-S08,Duplicate-folder detection,STATIC_VERIFIED,"Deliver Duplicate-folder detection as a bounded, inspectable Windows capability with truthful preflight, progress, result, and evidence.",Win32 file identity; Rust streaming hash,Win32 file identity,typed Tauri/Rust contract; fixed allowlisted command only if required,yes,scope/source selector; Scan or Preview; Review results; Export evidence,bounded filters; timeout/result limits; evidence verbosity,operation id; phase; data source/API; duration; warnings/errors; changed/skipped objects,standard user unless the selected operation touches protected machine state,LOW,False,Core local capability must work offline unless an external provider is explicitly selected.,none,READY_TO_IMPLEMENT,https://learn.microsoft.com/en-us/windows/win32/api/fileapi/nf-fileapi-getfileinformationbyhandle,P2_existing_reference
M03,M03-S09,Keeper recommendations,STATIC_VERIFIED,"Deliver Keeper recommendations as a bounded, inspectable Windows capability with truthful preflight, progress, result, and evidence.",Win32 file identity; Rust streaming hash,Win32 file identity,typed Tauri/Rust contract; fixed allowlisted command only if required,yes,scope/source selector; Scan or Preview; Review results; Export evidence,bounded filters; timeout/result limits; evidence verbosity,operation id; phase; data source/API; duration; warnings/errors; changed/skipped objects,standard user unless the selected operation touches protected machine state,LOW,False,Core local capability must work offline unless an external provider is explicitly selected.,none,READY_TO_IMPLEMENT,https://learn.microsoft.com/en-us/windows/win32/api/fileapi/nf-fileapi-getfileinformationbyhandle,P2_existing_reference
M03,M03-S10,Quarantine and restore,STATIC_VERIFIED,"Deliver Quarantine and restore as a bounded, inspectable Windows capability with truthful preflight, progress, result, and evidence.",Win32 file identity; Rust streaming hash,Win32 file identity,typed Tauri/Rust contract; fixed allowlisted command only if required,yes,scope/source selector; Scan or Preview; Review results; Export evidence,bounded filters; timeout/result limits; evidence verbosity,operation id; phase; data source/API; duration; warnings/errors; changed/skipped objects,standard user unless the selected operation touches protected machine state,MEDIUM,False,Core local capability must work offline unless an external provider is explicitly selected.,none,READY_TO_IMPLEMENT,https://learn.microsoft.com/en-us/windows/win32/api/fileapi/nf-fileapi-getfileinformationbyhandle,P2_existing_reference
M04,M04-S01,Storage treemap,STATIC_VERIFIED,"Deliver Storage treemap as a bounded, inspectable Windows capability with truthful preflight, progress, result, and evidence.",Win32 file APIs; GetDiskFreeSpaceEx,Win32 file APIs,typed Tauri/Rust contract; fixed allowlisted command only if required,yes,scope/source selector; Scan or Preview; Review results; Export evidence,bounded filters; timeout/result limits; evidence verbosity,operation id; phase; data source/API; duration; warnings/errors; changed/skipped objects,standard user unless the selected operation touches protected machine state,LOW,False,Core local capability must work offline unless an external provider is explicitly selected.,none,READY_TO_IMPLEMENT,https://learn.microsoft.com/en-us/windows/win32/api/fileapi/,P2_existing_reference
M04,M04-S02,Largest files,STATIC_VERIFIED,"Deliver Largest files as a bounded, inspectable Windows capability with truthful preflight, progress, result, and evidence.",Win32 file APIs; GetDiskFreeSpaceEx,Win32 file APIs,typed Tauri/Rust contract; fixed allowlisted command only if required,yes,scope/source selector; Scan or Preview; Review results; Export evidence,bounded filters; timeout/result limits; evidence verbosity,operation id; phase; data source/API; duration; warnings/errors; changed/skipped objects,standard user unless the selected operation touches protected machine state,LOW,False,Core local capability must work offline unless an external provider is explicitly selected.,none,READY_TO_IMPLEMENT,https://learn.microsoft.com/en-us/windows/win32/api/fileapi/,P2_existing_reference
M04,M04-S03,Largest folders,STATIC_VERIFIED,"Deliver Largest folders as a bounded, inspectable Windows capability with truthful preflight, progress, result, and evidence.",Win32 file APIs; GetDiskFreeSpaceEx,Win32 file APIs,typed Tauri/Rust contract; fixed allowlisted command only if required,yes,scope/source selector; Scan or Preview; Review results; Export evidence,bounded filters; timeout/result limits; evidence verbosity,operation id; phase; data source/API; duration; warnings/errors; changed/skipped objects,standard user unless the selected operation touches protected machine state,LOW,False,Core local capability must work offline unless an external provider is explicitly selected.,none,READY_TO_IMPLEMENT,https://learn.microsoft.com/en-us/windows/win32/api/fileapi/,P2_existing_reference
M04,M04-S04,File-type distribution,STATIC_VERIFIED,"Deliver File-type distribution as a bounded, inspectable Windows capability with truthful preflight, progress, result, and evidence.",Win32 file APIs; GetDiskFreeSpaceEx,Win32 file APIs,typed Tauri/Rust contract; fixed allowlisted command only if required,yes,scope/source selector; Scan or Preview; Review results; Export evidence,bounded filters; timeout/result limits; evidence verbosity,operation id; phase; data source/API; duration; warnings/errors; changed/skipped objects,standard user unless the selected operation touches protected machine state,LOW,False,Core local capability must work offline unless an external provider is explicitly selected.,none,READY_TO_IMPLEMENT,https://learn.microsoft.com/en-us/windows/win32/api/fileapi/,P2_existing_reference
M04,M04-S05,Old files,PARTIAL,"Deliver Old files as a bounded, inspectable Windows capability with truthful preflight, progress, result, and evidence.",Win32 file APIs; GetDiskFreeSpaceEx,Win32 file APIs,typed Tauri/Rust contract; fixed allowlisted command only if required,yes,scope/source selector; Scan or Preview; Review results; Export evidence,bounded filters; timeout/result limits; evidence verbosity,operation id; phase; data source/API; duration; warnings/errors; changed/skipped objects,standard user unless the selected operation touches protected machine state,LOW,False,Core local capability must work offline unless an external provider is explicitly selected.,none,READY_TO_IMPLEMENT,https://learn.microsoft.com/en-us/windows/win32/api/fileapi/,P0_partial_closure
M04,M04-S06,Downloads analysis,STATIC_VERIFIED,"Deliver Downloads analysis as a bounded, inspectable Windows capability with truthful preflight, progress, result, and evidence.",Win32 file APIs; GetDiskFreeSpaceEx,Win32 file APIs,typed Tauri/Rust contract; fixed allowlisted command only if required,yes,scope/source selector; Scan or Preview; Review results; Export evidence,bounded filters; timeout/result limits; evidence verbosity,operation id; phase; data source/API; duration; warnings/errors; changed/skipped objects,standard user unless the selected operation touches protected machine state,LOW,False,Core local capability must work offline unless an external provider is explicitly selected.,none,READY_TO_IMPLEMENT,https://learn.microsoft.com/en-us/windows/win32/api/fileapi/,P2_existing_reference
M04,M04-S07,Application-data analysis,STATIC_VERIFIED,"Deliver Application-data analysis as a bounded, inspectable Windows capability with truthful preflight, progress, result, and evidence.",Win32 file APIs; GetDiskFreeSpaceEx,Win32 file APIs,typed Tauri/Rust contract; fixed allowlisted command only if required,yes,scope/source selector; Scan or Preview; Review results; Export evidence,bounded filters; timeout/result limits; evidence verbosity,operation id; phase; data source/API; duration; warnings/errors; changed/skipped objects,standard user unless the selected operation touches protected machine state,LOW,False,Core local capability must work offline unless an external provider is explicitly selected.,none,READY_TO_IMPLEMENT,https://learn.microsoft.com/en-us/windows/win32/api/fileapi/,P2_existing_reference
M04,M04-S08,External-drive analysis,STATIC_VERIFIED,"Deliver External-drive analysis as a bounded, inspectable Windows capability with truthful preflight, progress, result, and evidence.",Win32 file APIs; GetDiskFreeSpaceEx,Win32 file APIs,typed Tauri/Rust contract; fixed allowlisted command only if required,yes,scope/source selector; Scan or Preview; Review results; Export evidence,bounded filters; timeout/result limits; evidence verbosity,operation id; phase; data source/API; duration; warnings/errors; changed/skipped objects,standard user unless the selected operation touches protected machine state,LOW,False,Core local capability must work offline unless an external provider is explicitly selected.,none,READY_TO_IMPLEMENT,https://learn.microsoft.com/en-us/windows/win32/api/fileapi/,P2_existing_reference
M04,M04-S09,Low-space alerts,STATIC_VERIFIED,"Deliver Low-space alerts as a bounded, inspectable Windows capability with truthful preflight, progress, result, and evidence.",Win32 file APIs; GetDiskFreeSpaceEx,Win32 file APIs,typed Tauri/Rust contract; fixed allowlisted command only if required,yes,scope/source selector; Scan or Preview; Review results; Export evidence,bounded filters; timeout/result limits; evidence verbosity,operation id; phase; data source/API; duration; warnings/errors; changed/skipped objects,standard user unless the selected operation touches protected machine state,LOW,False,Core local capability must work offline unless an external provider is explicitly selected.,none,READY_TO_IMPLEMENT,https://learn.microsoft.com/en-us/windows/win32/api/fileapi/,P2_existing_reference
M04,M04-S10,Exportable storage reports,PARTIAL,"Deliver Exportable storage reports as a bounded, inspectable Windows capability with truthful preflight, progress, result, and evidence.",Win32 file APIs; GetDiskFreeSpaceEx,Win32 file APIs,typed Tauri/Rust contract; fixed allowlisted command only if required,yes,choose report scope; choose format; redaction toggle where personal data exists; Export,include/exclude evidence sections; timestamp/timezone; machine identifiers policy; pretty/compact JSON,operation id; phase; data source/API; duration; warnings/errors; changed/skipped objects,standard user unless the selected operation touches protected machine state,LOW,False,Core local capability must work offline unless an external provider is explicitly selected.,none,READY_TO_IMPLEMENT,https://learn.microsoft.com/en-us/windows/win32/api/fileapi/,P0_partial_closure
M05,M05-S01,Registry startup entries,STATIC_VERIFIED,"Deliver Registry startup entries as a bounded, inspectable Windows capability with truthful preflight, progress, result, and evidence.",Run/RunOnce registry; Startup known folders,Run/RunOnce registry,typed Tauri/Rust contract; fixed allowlisted command only if required,yes,scope/source selector; Scan or Preview; Review results; Export evidence,bounded filters; timeout/result limits; evidence verbosity,operation id; phase; data source/API; duration; warnings/errors; changed/skipped objects,standard user unless the selected operation touches protected machine state,LOW,False,Core local capability must work offline unless an external provider is explicitly selected.,none,READY_TO_IMPLEMENT,https://learn.microsoft.com/en-us/windows/win32/taskschd/about-the-task-scheduler,P2_existing_reference
M05,M05-S02,Startup folders,STATIC_VERIFIED,"Deliver Startup folders as a bounded, inspectable Windows capability with truthful preflight, progress, result, and evidence.",Run/RunOnce registry; Startup known folders,Run/RunOnce registry,typed Tauri/Rust contract; fixed allowlisted command only if required,yes,scope/source selector; Scan or Preview; Review results; Export evidence,bounded filters; timeout/result limits; evidence verbosity,operation id; phase; data source/API; duration; warnings/errors; changed/skipped objects,standard user unless the selected operation touches protected machine state,LOW,False,Core local capability must work offline unless an external provider is explicitly selected.,none,READY_TO_IMPLEMENT,https://learn.microsoft.com/en-us/windows/win32/taskschd/about-the-task-scheduler,P2_existing_reference
M05,M05-S03,Scheduled startup tasks,STATIC_VERIFIED,"Deliver Scheduled startup tasks as a bounded, inspectable Windows capability with truthful preflight, progress, result, and evidence.",Run/RunOnce registry; Startup known folders,Run/RunOnce registry,typed Tauri/Rust contract; fixed allowlisted command only if required,yes,scope/source selector; Scan or Preview; Review results; Export evidence,bounded filters; timeout/result limits; evidence verbosity,operation id; phase; data source/API; duration; warnings/errors; changed/skipped objects,standard user unless the selected operation touches protected machine state,LOW,True,Core local capability must work offline unless an external provider is explicitly selected.,none,READY_TO_IMPLEMENT,https://learn.microsoft.com/en-us/windows/win32/taskschd/about-the-task-scheduler,P2_existing_reference
